,Approved symbol,OMIM ID,prefix,preferred_title,omim_symbols,n_hits,match
0,CFH,134370,*,COMPLEMENT FACTOR H; CFH,AHUS1;ARMD4;CFH;HF1;HUS,1,exact
1,ITGA2B,607759,*,"INTEGRIN, ALPHA-2B; ITGA2B",BDPLT16;BDPLT2;CD41B;FMAIT2;GP2B;GT1;ITGA2B,1,exact
2,ABCC8,600509,*,"ATP-BINDING CASSETTE, SUBFAMILY C, MEMBER 8; ABCC8",ABCC8;HHF1;MODY12;PHHI;PNDM3;SUR;SUR1;TNDM2,1,exact
3,RALA,179550,*,RAS-LIKE PROTOONCOGENE A; RALA,HINCONS;RALA,1,exact
4,TBXA2R,188070,*,"THROMBOXANE A2 RECEPTOR, PLATELET; TBXA2R",BDPLT13;TBXA2R,1,exact
5,PROM1,604365,*,PROMININ 1; PROM1,AC133;CD133;CORD12;MCDR2;PROM1;PROML1;RP41;STGD4,1,exact
6,RHOBTB2,607352,*,RHO-RELATED BTB DOMAIN-CONTAINING PROTEIN 2; RHOBTB2,DBC2;DEE64;KIAA0717;RHOBTB2,1,exact
7,CSDE1,191510,*,"COLD-SHOCK DOMAIN-CONTAINING E1, RNA-BINDING; CSDE1",CSDE1;D1S155E;UNR,1,exact
8,CLCN6,602726,*,CHLORIDE CHANNEL 6; CLCN6,CLCN6,1,exact
9,POLR3B,614366,*,"POLYMERASE III, RNA, SUBUNIT B; POLR3B",C128;CMT1I;HLD8;POLR3B;RPC2,1,exact
10,MATR3,164015,*,MATRIN 3; MATR3,ALS21;MATR3;MPD2,1,exact
11,ISL1,600366,*,ISL LIM HOMEOBOX 1; ISL1,ISL1,1,exact
12,ATP1A2,182340,*,"ATPase, Na+/K+ TRANSPORTING, ALPHA-2 POLYPEPTIDE; ATP1A2",ATP1A2;DEE98;FARIMPD;FHM2;MHP2,1,exact
13,GABRA1,137160,*,"GAMMA-AMINOBUTYRIC ACID RECEPTOR, ALPHA-1; GABRA1",DEE19;ECA4;EJM5;GABRA1,1,exact
14,SEC63,608648,*,"SEC63 HOMOLOG, PROTEIN TRANSLOCATION REGULATOR; SEC63",PCLD2;SEC63,1,exact
15,ANK1,612641,*,ANKYRIN 1; ANK1,ANK1;SPH1,1,exact
16,IKZF2,606234,*,IKAROS FAMILY ZINC FINGER 2; IKZF2,ANF1A2;HELIOS;ICHAD;IKZF2;IMDIA,1,exact
17,GRN,138945,*,GRANULIN PRECURSOR; GRN,CLN11;FTD2;GRN,1,exact
18,ZCCHC8,616381,*,ZINC FINGER CCHC DOMAIN-CONTAINING PROTEIN 8; ZCCHC8,PFBMFT5;ZCCHC8,1,exact
19,MYOC,601652,*,MYOCILIN; MYOC,GLC1A;GPOA;JOAG;MYOC;TIGR,1,exact
20,VCL,193065,*,VINCULIN; VCL,CMD1W;CMH15;VCL,1,exact
21,CASR,601199,*,CALCIUM-SENSING RECEPTOR; CASR,CASR;EIG8;FIH;HHC1;HYPOC1;PCAR1,1,exact
22,FLT4,136352,*,FMS-LIKE TYROSINE KINASE 4; FLT4,CHTD7;FLT4;LMPHM1;PCL;VEGFR3,1,exact
23,VCAN,118661,*,VERSICAN; VCAN,CSPG2;ERVR;VCAN;WGN;WGN1,1,exact
24,WDR37,618586,*,WD REPEAT-CONTAINING PROTEIN 37; WDR37,NOCGUS;WDR37,1,exact
25,GUCA1A,600364,*,GUANYLATE CYCLASE ACTIVATOR 1A; GUCA1A,COD3;CORD14;GCAP;GUCA1A,1,exact
26,NEDD4L,606384,*,UBIQUITIN PROTEIN LIGASE NEDD4-LIKE; NEDD4L,KIAA0439;NEDD4L;PVNH7;RSP5,1,exact
27,CYFIP2,606323,*,CYTOPLASMIC FMRP-INTERACTING PROTEIN 2; CYFIP2,CYFIP2;DEE65,1,exact
28,SEC61A1,609213,*,"SEC61 TRANSLOCON, ALPHA-1 SUBUNIT; SEC61A1",ADTKD5;CVID15;SEC61;SEC61A1,1,exact
29,PPP1R12A,602021,*,"PROTEIN PHOSPHATASE 1, REGULATORY SUBUNIT 12A; PPP1R12A",GUBS;MYPT1;PPP1R12A,1,exact
30,ALDH18A1,138250,*,"ALDEHYDE DEHYDROGENASE 18 FAMILY, MEMBER A1; ALDH18A1",ADCL3;ALDH18A1;ARCL3A;GSAS;PYCS;SPG9A;SPG9B,1,exact
31,COL11A1,120280,*,"COLLAGEN, TYPE XI, ALPHA-1; COL11A1",COL11A1;DFNA37;STL2,1,exact
32,POLD1,174761,*,"POLYMERASE (DNA-DIRECTED), DELTA 1, CATALYTIC SUBUNIT; POLD1",CRCS10;IMD120;MDPL;POLD1,1,exact
33,BICRA,605690,*,BRD4-INTERACTING CHROMATIN REMODELING COMPLEX-ASSOCIATED PROTEIN; BICRA,BICRA;CSS12;GLTSCR1,1,exact
34,TNPO3,610032,*,TRANSPORTIN 3; TNPO3,LGMDD2;TNPO3;TRNSR,1,exact
35,SPEN,613484,*,SPEN FAMILY TRANSCRIPTIONAL REPRESSOR; SPEN,HIAA0929;MINT;RATARS;SHARP;SPEN,1,exact
36,MYLK,600922,*,MYOSIN LIGHT CHAIN KINASE; MYLK,AAT7;MLCK;MMIHS1;MYLK,1,exact
37,SPI1,165170,*,SPI1 PROTOONCOGENE; SPI1,AGM10;SFPI1;SPI1,1,exact
38,FGFR2,176943,*,FIBROBLAST GROWTH FACTOR RECEPTOR 2; FGFR2,BBDS;BEK;CFD1;FGFR2;JWS;TK14,1,exact
39,TNFRSF1A,191190,*,"TUMOR NECROSIS FACTOR RECEPTOR SUPERFAMILY, MEMBER 1A; TNFRSF1A",FPF;MS5;TNFAR;TNFR1;TNFRSF1A,1,exact
40,FGFR3,134934,*,FIBROBLAST GROWTH FACTOR RECEPTOR 3; FGFR3,ACH;FGFR3,1,exact
41,ATP11A,605868,*,"ATPase, PHOSPHOLIPID TRANSPORTING, 11A; ATP11A",ATP11A;ATPIH;ATPIS;AUNA2;DFNA84;HLD24,1,exact
42,VPS35,601501,*,VPS35 RETROMER COMPLEX COMPONENT; VPS35,MEM3;PARK17;VPS35,1,exact
43,ABCC9,601439,*,"ATP-BINDING CASSETTE, SUBFAMILY C, MEMBER 9; ABCC9",ABCC9;ATFB12;CANTU;CMD1O;IDMYS;SUR2,1,exact
44,CAMK2A,114078,*,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE II-ALPHA; CAMK2A,CAMK2A;CAMKA;KIAA0968;MRD53;MRT63,1,exact
45,CDC42,116952,*,CELL DIVISION CYCLE 42; CDC42,CDC42;TKS,1,exact
46,TCF3,147141,*,TRANSCRIPTION FACTOR 3; TCF3,AGM8A;AGM8B;E2A;TCF3,1,exact
47,ACTN1,102575,*,"ACTININ, ALPHA-1; ACTN1",ACTN1;BDPLT15,1,exact
48,TP63,603273,*,TUMOR PROTEIN p63; TP63,EEC3;KET;LMS;OFC8;RHS;SHFM4;TP63;TP73L,1,exact
49,SDHA,600857,*,"SUCCINATE DEHYDROGENASE COMPLEX, FLAVOPROTEIN SUBUNIT A; SDHA",CMD1GG;MC2DN1;NDAXOA;PPGL5;SDH1;SDHA;SDHF,1,exact
50,EED,605984,*,EMBRYONIC ECTODERM DEVELOPMENT; EED,COGIS;EED;WAIT1,1,exact
51,ACTB,102630,*,"ACTIN, BETA; ACTB",ACTB;BNS;BRWS1;CSMH;DDS1;THC8,1,exact
52,RAB7A,602298,*,"RAB7A, MEMBER RAS ONCOGENE FAMILY; RAB7A",CMT2B;PSN;RAB7;RAB7A,1,exact
53,KLHL20,617679,*,KELCH-LIKE 20; KLHL20,KLEIP;KLHL20;KLHLX;NEDSZFB,1,exact
54,RARB,180220,*,"RETINOIC ACID RECEPTOR, BETA; RARB",HAP;MCOPS12;RARB,1,exact
55,TOP2B,126431,*,"TOPOISOMERASE, DNA, II, BETA; TOP2B",BILU;TOP2B,1,exact
56,NFKB2,164012,*,"NUCLEAR FACTOR KAPPA-B, SUBUNIT 2; NFKB2",CVID10;LYT10;NFKB2,1,exact
57,ACTN2,102573,*,"ACTININ, ALPHA-2; ACTN2",ACTN2;CMD1AA;CMH23;CMYO8;MPD6,1,exact
58,GNB1,139380,*,"GUANINE NUCLEOTIDE-BINDING PROTEIN, BETA-1; GNB1",GNB1;MDS;MRD42,1,exact
59,SLC1A3,600111,*,"SOLUTE CARRIER FAMILY 1 (GLIAL HIGH AFFINITY GLUTAMATE TRANSPORTER), MEMBER 3; SLC1A3",EA6;EAAT1;SLC1A3,1,exact
60,DNM2,602378,*,DYNAMIN 2; DNM2,CMT2M;CMTDI1;CMTDIB;DNM2;LCCS5,1,exact
61,RFX3,601337,*,"REGULATORY FACTOR X, 3; RFX3",RFX3,1,exact
62,SMARCA2,600014,*,"SWI/SNF-RELATED, MATRIX-ASSOCIATED, ACTIN-DEPENDENT REGULATOR OF CHROMATIN, SUBFAMILY A, MEMBER 2; SMARCA2",BIS;NCBRS;SMARCA2;SNF2L2,1,exact
63,SRCAP,611421,*,SNF2-RELATED CBP ACTIVATOR PROTEIN; SRCAP,DEHMBA;FLHS;KIAA0309;SRCAP;SWR1,1,exact
64,CPOX,612732,*,COPROPORPHYRINOGEN OXIDASE; CPOX,CPOX;HARPO,1,exact
65,COL4A4,120131,*,"COLLAGEN, TYPE IV, ALPHA-4; COL4A4",ATS2;BFH1;COL4A4,1,exact
66,CACNA1S,114208,*,"CALCIUM CHANNEL, VOLTAGE-DEPENDENT, L TYPE, ALPHA-1S SUBUNIT; CACNA1S",CACNA1S;CACNL1A3;CCHL1A3;CMYO18;HOKPP1;MHS5;TTPP1,1,exact
67,TRPM3,608961,*,"TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL, SUBFAMILY M, MEMBER 3; TRPM3",CTRCT50;KIAA1616;LTRPC3;MLSN2;NEDFSS;TRPM3,1,exact
68,GRHL2,608576,*,GRAINYHEAD-LIKE 2; GRHL2,DFNA28;ECTDS;GRHL2;PPCD4;TFCP2L3,1,exact
69,CHMP2B,609512,*,CHARGED MULTIVESICULAR BODY PROTEIN 2B; CHMP2B,CHMP2B;DMT1;FTDALS7;VPS2B,1,exact
70,MECOM,165215,*,MDS1 AND EVI1 COMPLEX LOCUS; MECOM,EVI1;MECOM;RUSAT2,1,exact
71,ALG9,606941,*,"ALG9 ALPHA-1,2-MANNOSYLTRANSFERASE; ALG9",ALG9;CDG1L;DIBD1;GIKANIS,1,exact
72,GNAO1,139311,*,"GUANINE NUCLEOTIDE-BINDING PROTEIN, ALPHA-ACTIVATING ACTIVITY POLYPEPTIDE O; GNAO1",DEE17;GNAO1;NEDIM,1,exact
73,DNM1L,603850,*,DYNAMIN 1-LIKE; DNM1L,DNM1L;DRP1;DVLP;DYMPLE;EMPF1;OPA5,1,exact
74,CNOT3,604910,*,"CCR4-NOT TRANSCRIPTION COMPLEX, SUBUNIT 3; CNOT3",CNOT3;IDDSADF;NOT3,1,exact
75,F11,264900,*,COAGULATION FACTOR XI; F11,F11,1,exact
76,FUS,137070,*,FUS RNA-BINDING PROTEIN; FUS,ALS6;ETM4;FUS;TLS,1,exact
77,GANAB,104160,*,"GLUCOSIDASE, ALPHA, NEUTRAL AB; GANAB",GANAB;PKD3,1,exact
78,DNAJB11,611341,*,"DNAJ/HSP40 HOMOLOG, SUBFAMILY B, MEMBER 11; DNAJB11",ABBP2;DJ9;DNAJB11;HEDJ;PKD6,1,exact
79,THPO,600044,*,THROMBOPOIETIN; THPO,CAMT2;MGDF;MPLLG;THC9;THCYT1;THPO;TPO,1,exact
80,AARS1,601065,*,ALANYL-tRNA SYNTHETASE 1; AARS1,AARS;AARS1;CMT2N;DEE29;HDLS2;TTD8,1,exact
81,ABCC6,603234,*,"ATP-BINDING CASSETTE, SUBFAMILY C, MEMBER 6; ABCC6",ABC34;ABCC6;ARA;GACI2;MLP1;PXE,1,exact
82,MYH7,160760,*,"MYOSIN, HEAVY CHAIN 7, CARDIAC MUSCLE, BETA; MYH7",CMD1S;CMH1;CMYO7A;CMYO7B;MPD1;MYH7,1,exact
83,TINF2,604319,*,TERF1-INTERACTING NUCLEAR FACTOR 2; TINF2,DKCA3;DKCA5;TIN2;TINF2,1,exact
84,TRPM7,605692,*,"TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL, SUBFAMILY M, MEMBER 7; TRPM7",ALSPDC;CHAK;LTRPC7;TRPM7,1,exact
85,CAPN3,114240,*,CALPAIN 3; CAPN3,CANP3;CAPN3;LGMDD4;LGMDR1,1,exact
86,TGFB2,190220,*,"TRANSFORMING GROWTH FACTOR, BETA-2; TGFB2",CAEND2;LDS4;TGFB2,1,exact
87,STX1B,601485,*,SYNTAXIN 1B; STX1B,GEFSP9;STX1B,1,exact
88,MTAP,156540,*,METHYLTHIOADENOSINE PHOSPHORYLASE; MTAP,DMSMFH;MTAP,1,exact
89,SERPIND1,142360,*,HEPARIN COFACTOR II; HCF2,HC2;HCF2;SERPIND1;THPH10,1,exact
90,LZTR1,600574,*,LEUCINE ZIPPER-LIKE TRANSCRIPTIONAL REGULATOR 1; LZTR1,LZTR1;NS10;NS2;SWNTS2,1,exact
91,TIMP3,188826,*,TISSUE INHIBITOR OF METALLOPROTEINASE 3; TIMP3,SFD;TIMP3,1,exact
92,NEFH,162230,*,"NEUROFILAMENT PROTEIN, HEAVY POLYPEPTIDE; NEFH",CMT2CC;NEFH,1,exact
93,RBFOX2,612149,*,RNA-BINDING FOX1 HOMOLOG 2; RBFOX2,FOX2;RBFOX2;RBM9;RTA,1,exact
94,MYH9,160775,*,"MYOSIN, HEAVY CHAIN 9, NONMUSCLE; MYH9",BDPLT6;DFNA17;FTNS;MATINS;MHA;MYH9,1,exact
95,ACO2,100850,*,ACONITASE 2; ACO2,ACO2;ICRD;OPA9,1,exact
96,COCH,603196,*,COCHLIN; COCH,COCH;DFNA9;DFNB110,1,exact
97,SOS2,601247,*,SOS RAS/RAC GUANINE NUCLEOTIDE EXCHANGE FACTOR 2; SOS2,NS9;SOS2,1,exact
98,SPTLC2,605713,*,"SERINE PALMITOYLTRANSFERASE, LONG-CHAIN BASE SUBUNIT 2; SPTLC2",HSN1C;KIAA0526;LCB2;NSAN1C;SPT2;SPTLC2,1,exact
99,YY1,600013,*,TRANSCRIPTION FACTOR YY1; YY1,GADEVS;YY1,1,exact
100,NFKBIA,164008,*,"NUCLEAR FACTOR KAPPA-B INHIBITOR, ALPHA; NFKBIA",EDAID2;IKBA;NFKBIA,1,exact
101,ZMYND8,615713,*,ZINC FINGER MYND DOMAIN-CONTAINING PROTEIN 8; ZMYND8,PRKCBP1;ZMYND8,1,exact
102,DNAJC5,611203,*,"DNAJ/HSP40 HOMOLOG, SUBFAMILY C, MEMBER 5; DNAJC5",CLN4;CSP;DNAJC5;DNAJC5A,1,exact
103,TUBB1,612901,*,"TUBULIN, BETA-1; TUBB1",MACTHC1;TUBB1,1,exact
104,CHRNA4,118504,*,"CHOLINERGIC RECEPTOR, NEURONAL NICOTINIC, ALPHA POLYPEPTIDE 4; CHRNA4",CHRNA4;ENFL1,1,exact
105,EEF1A2,602959,*,"EUKARYOTIC TRANSLATION ELONGATION FACTOR 1, ALPHA-2; EEF1A2",DEE33;EEF1A2;MRD38,1,exact
106,CSNK2A1,115440,*,"CASEIN KINASE II, ALPHA-1; CSNK2A1",CK2A1;CSNK2A1;OCNDS,1,exact
107,PROKR2,607123,*,PROKINETICIN RECEPTOR 2; PROKR2,GPR73L1;HH3;PKR2;PROKR2,1,exact
108,PLCB4,600810,*,"PHOSPHOLIPASE C, BETA-4; PLCB4",ARCND2A;ARCND2B;PLCB4,1,exact
109,POFUT1,607491,*,PROTEIN O-FUCOSYLTRANSFERASE 1; POFUT1,DDD2;KIAA0180;OFUCT1;POFUT1,1,exact
110,SMCHD1,614982,*,STRUCTURAL MAINTENANCE OF CHROMOSOMES FLEXIBLE HINGE DOMAIN-CONTAINING PROTEIN 1; SMCHD1,BAMS;KIAA0650;SMCHD1,1,exact
111,FGF9,600921,*,FIBROBLAST GROWTH FACTOR 9; FGF9,FGF9;SYNS3,1,exact
112,ACD,609377,*,ACD SHELTERIN COMPLEX SUBUNIT AND TELOMERASE RECRUITMENT FACTOR; ACD,ACD;DKCA6;DKCB7;PIP1;PTOP;TINT1,1,exact
113,CLCN7,602727,*,CHLORIDE CHANNEL 7; CLCN7,CLC7;CLCN7;HOD;OPTA2;OPTB4,1,exact
114,MEFV,608107,*,"MEFV INNATE IMMUNITY REGULATOR, PYRIN; MEFV",FMF;MEF;MEFV;PAAND,1,exact
115,PIEZO1,611184,*,PIEZO-TYPE MECHANOSENSITIVE ION CHANNEL COMPONENT 1; PIEZO1,DHS;ER;FAM38A;LMPHM6;MIB;PIEZO1,1,exact
116,HOMER2,604799,*,HOMER SCAFFOLD PROTEIN 2; HOMER2,DFNA68;HOMER2;HOMER2A;HOMER2B,1,exact
117,RP1,603937,*,RP1 AXONEMAL MICROTUBULE-ASSOCIATED PROTEIN; RP1,ORP1;RP1,1,exact
118,IKBKB,603258,*,"INHIBITOR OF NUCLEAR FACTOR KAPPA-B KINASE, SUBUNIT BETA; IKBKB",IKBKB;IMD15A;IMD15B;NFKBIKB,1,exact
119,GDAP1,606598,*,GANGLIOSIDE-INDUCED DIFFERENTIATION-ASSOCIATED PROTEIN 1; GDAP1,CMT2K;CMT4A;CMTRIA;GDAP1,1,exact
120,TUBB4A,602662,*,"TUBULIN, BETA-4A; TUBB4A",DYT4;HLD6;TUBB4A,1,exact
121,NOVA2,601991,*,NOVA ALTERNATIVE SPLICING REGULATOR 2; NOVA2,ANOVA;NEDASB;NOVA2,1,exact
122,MYH14,608568,*,"MYOSIN, HEAVY CHAIN 14, NONMUSCLE; MYH14",DFNA4A;KIAA2034;MYH14;PNMHH,1,exact
123,CRX,602225,*,CONE-ROD HOMEOBOX-CONTAINING GENE; CRX,CORD2;CRD;CRX;LCA7,1,exact
124,ATP1A3,182350,*,"ATPase, Na+/K+ TRANSPORTING, ALPHA-3 POLYPEPTIDE; ATP1A3",AHC2;ATP1A3;CAPOS;DEE99;DYT12;RDP,1,exact
125,GRIN2D,602717,*,"GLUTAMATE RECEPTOR, IONOTROPIC, N-METHYL-D-ASPARTATE, SUBUNIT 2D; GRIN2D",DEE46;GRIN2D;NMDAR2D,1,exact
126,PPP2R1A,605983,*,"PROTEIN PHOSPHATASE 2, STRUCTURAL/REGULATORY SUBUNIT A, ALPHA; PPP2R1A",HJS2;MRD36;PPP2R1A,1,exact
127,PRPF31,606419,*,PRE-mRNA-PROCESSING FACTOR 31; PRPF31,PRP31;PRPF31;RP11,1,exact
128,PIK3R2,603157,*,"PHOSPHATIDYLINOSITOL 3-KINASE, REGULATORY SUBUNIT 2; PIK3R2",MPPH1;PIK3R2,1,exact
129,COMP,600310,*,CARTILAGE OLIGOMERIC MATRIX PROTEIN; COMP,COMP;CTS2;EDM1;MED;PSACH,1,exact
130,SCN1B,600235,*,"SODIUM VOLTAGE-GATED CHANNEL, BETA SUBUNIT 1; SCN1B",ATFB13;BRGDA5;DEE52;GEFSP1;SCN1B,1,exact
131,GSDME,608798,*,GASDERMIN E; GSDME,DFNA5;GSDME,1,exact
132,CAV1,601047,*,CAVEOLIN 1; CAV1,BSCL3;CAV1;CGL3;LCCNS;PPH3,1,exact
133,MET,164860,*,"MET PROTOONCOGENE, RECEPTOR TYROSINE KINASE; MET",DA11;DFNB97;MET;OSFD,1,exact
134,DNAJB6,611332,*,"DNAJ/HSP40 HOMOLOG, SUBFAMILY B, MEMBER 6; DNAJB6",DJ4;DNAJB6;LGMDD1;MRJ,1,exact
135,TSPAN12,613138,*,TETRASPANIN 12; TSPAN12,EVR5;NET2;TSPAN12,1,exact
136,SSBP1,600439,*,SINGLE-STRANDED DNA-BINDING PROTEIN 1; SSBP1,OPA13;SSBP;SSBP1,1,exact
137,GARS1,600287,*,GLYCYL-tRNA SYNTHETASE 1; GARS1,CMT2D;GARS;GARS1;HMND5;SMAD1;SMAJI,1,exact
138,HSPB1,602195,*,HEAT-SHOCK 27-KD PROTEIN 1; HSPB1,CMT2F;HMND3;HSP27;HSPB1,1,exact
139,IMPDH1,146690,*,IMP DEHYDROGENASE 1; IMPDH1,IMPDH1;LCA11;RP10,1,exact
140,EZH2,601573,*,ENHANCER OF ZESTE 2 POLYCOMB REPRESSIVE COMPLEX 2 SUBUNIT; EZH2,EZH1;EZH2;WVS,1,exact
141,PRKAG2,602743,*,"PROTEIN KINASE, AMP-ACTIVATED, NONCATALYTIC, GAMMA-2; PRKAG2",CMH6;GSDH;PRKAG2;WPWS,1,exact
142,DNM1,602377,*,DYNAMIN 1; DNM1,DEE31A;DEE31B;DNM1,1,exact
143,KCNT1,608167,*,"POTASSIUM CHANNEL, SUBFAMILY T, MEMBER 1; KCNT1",DEE14;ENFL5;KCNT1;KIAA1422,1,exact
144,SETX,608465,*,SENATAXIN; SETX,ALS4;AOA2;SCAN2;SETX,1,exact
145,ACTA2,102620,*,"ACTIN, ALPHA-2, SMOOTH MUSCLE, AORTA; ACTA2",AAT6;ACTA2;ACTSA;MYMY5;SMDYS,1,exact
146,FGF8,600483,*,FIBROBLAST GROWTH FACTOR 8; FGF8,FGF8;HH6,1,exact
147,SUFU,607035,*,SUFU NEGATIVE REGULATOR OF HEDGEHOG SIGNALING; SUFU,BCNS2;JBTS32;SUFU;SUFUH;SUFUXL,1,exact
148,ANKRD26,610855,*,ANKYRIN REPEAT DOMAIN-CONTAINING PROTEIN 26; ANKRD26,ANKRD26;KIAA1074;THC2,1,exact
149,SMC3,606062,*,STRUCTURAL MAINTENANCE OF CHROMOSOMES 3; SMC3,BAM;CDLS3;CSPG6;HCAP;SMC3,1,exact
150,SHOC2,602775,*,SHOC2 LEUCINE-RICH REPEAT SCAFFOLD PROTEIN; SHOC2,NSLH1;SHOC2;SIAA0862;SOC2;SUR8,1,exact
151,ZMIZ1,607159,*,ZINC FINGER MIZ-DOMAIN CONTAINING 1; ZMIZ1,KIAA1224;NEDDFSA;RAI17;ZIMP10;ZMIZ1,1,exact
152,UBTF,600673,*,UPSTREAM BINDING TRANSCRIPTION FACTOR (RNA POLYMERASE I); UBTF,CONDBA;UBF;UBTF,1,exact
153,RNF43,612482,*,RING FINGER PROTEIN 43; RNF43,RNF124;RNF43;SSPCS,1,exact
154,MED13,603808,*,MEDIATOR COMPLEX SUBUNIT 13; MED13,MED13;MRD61;THRAP1;TRAP240,1,exact
155,PFN1,176610,*,PROFILIN 1; PFN1,ALS18;PDB7;PFN1,1,exact
156,FOXN1,600838,*,FORKHEAD BOX N1; FOXN1,FOXN1;TIDAND;TIDTA;TLIND;WHN,1,exact
157,NFKB1,164011,*,"NUCLEAR FACTOR KAPPA-B, SUBUNIT 1; NFKB1",CVID12;NFKB1,1,exact
158,WFS1,606201,*,WOLFRAMIN ER TRANSMEMBRANE GLYCOPROTEIN; WFS1,CTRCT41;DFNA14;DFNA38;DFNA6;WFRS;WFS;WFS1;WFSL,1,exact
159,ELP4,606985,*,"ELONGATOR ACETYLTRANSFERASE COMPLEX, SUBUNIT 4; ELP4",AN2;ELP4;PAX6NEB,1,exact
160,TECTA,602574,*,"TECTORIN, ALPHA; TECTA",DFNA12;DFNA8;DFNB21;TECTA,1,exact
161,UNC93B1,608204,*,"UNC93 HOMOLOG B1, TLR SIGNALING REGULATOR; UNC93B1",IIAE1;UNC93B1,1,exact
162,CBL,165360,*,CBL PROTOONCOGENE; CBL,CBL;CBL2;NSLL,1,exact
163,SLC1A2,600300,*,"SOLUTE CARRIER FAMILY 1 (GLIAL HIGH AFFINITY GLUTAMATE TRANSPORTER), MEMBER 2; SLC1A2",DEE41;EAAT2;SLC1A2,1,exact
164,SOX6,607257,*,SRY-BOX 6; SOX6,SOX6;TOLCAS,1,exact
165,VWF,613160,*,VON WILLEBRAND FACTOR; VWF,F8VWF;VWF,1,exact
166,TRPV4,605427,*,"TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL, SUBFAMILY V, MEMBER 4; TRPV4",BCYM3;CMT2C;HMSN2C;SMAL;SPSMA;SSQTL1;TRPV4;VROAC,1,exact
167,MYL2,160781,*,"MYOSIN, LIGHT CHAIN 2, REGULATORY, CARDIAC, SLOW; MYL2",CMH10;MFM12;MYL2,1,exact
168,CUX2,610648,*,CUT-LIKE HOMEOBOX 2; CUX2,CDP2;CUTL2;CUX2;DEE67,1,exact
