gene_symbol,pathogenic,likely_pathogenic,uncertain_significance,likely_benign,benign,association,not_provided,other_or_unclassified
IKZF3,0,0,0,0,0,0,0,31
TARDBP,0,0,1,0,0,0,0,12
ACD,3,1,15,1,0,0,0,77
SLC1A3,0,0,1,1,0,0,0,50
KCNJ11,1,1,1,0,0,0,0,13
SDHA,38,14,3,0,0,0,0,48
TBK1,14,5,1,0,0,0,0,81
AP2M1,0,0,0,0,0,0,0,23
PRPF4,0,0,0,0,0,0,0,25
BRD4,2,0,0,0,0,0,0,80
KCNJ2,3,1,3,0,0,0,0,13
BSCL2,22,3,3,0,0,0,0,63
NRL,8,1,4,0,0,0,0,35
HNRNPA2B1,0,0,0,0,0,0,0,14
CHRNB1,4,6,4,0,0,0,0,90
AARS1,25,7,7,0,0,0,0,131
GGCX,9,1,1,0,0,0,0,145
EED,0,0,0,0,0,0,0,18
COCH,5,0,1,0,0,0,0,110
SNAP25,0,0,0,1,0,0,0,4
AGO2,0,0,1,0,0,0,0,23
CALM2,0,0,0,0,0,0,0,7
TNNT2,2,9,17,0,0,0,0,32
MAP2K1,0,0,5,0,0,0,0,32
PSMD12,0,0,0,0,0,0,0,12
DIAPH1,17,6,2,1,0,0,0,139
HRAS,1,1,8,0,0,0,0,21
TGFB2,7,1,1,0,0,0,0,21
UBA2,1,0,0,0,0,0,0,54
PROS1,11,4,0,0,0,0,0,67
CSRP3,5,4,12,0,0,0,0,28
CEP85L,0,0,3,0,0,0,0,157
NEK8,12,6,7,0,0,0,0,105
MEFV,1,4,27,2,0,0,1,113
SOS2,0,0,9,2,0,0,0,149
NEB,250,127,13,5,1,0,0,803
GRIN1,5,2,1,2,1,0,0,83
SMC3,0,0,0,0,0,0,0,68
KCNQ3,6,0,5,0,0,0,0,70
KCNH1,0,0,6,1,0,0,0,53
CAV1,1,0,2,0,0,0,0,13
PRKAG2,0,0,15,0,0,0,0,44
ATL3,1,0,12,0,0,0,0,94
KCNC1,0,1,1,0,0,0,0,18
GARS1,3,1,12,0,0,0,0,90
TUBG1,1,0,2,1,0,0,0,57
MESP1,0,0,5,1,0,0,0,82
CDH11,1,1,0,0,0,0,0,36
MYLK,6,12,26,0,0,0,0,176
CALM3,0,0,0,0,0,0,0,16
SSBP1,0,0,0,0,0,0,0,37
PIK3R2,2,0,1,2,0,0,0,134
BICRA,0,1,3,0,1,0,0,286
CDC42,0,0,0,0,0,0,0,9
UMOD,2,0,23,1,0,0,0,104
CHN1,0,0,1,0,0,0,0,77
FGF8,1,1,0,0,0,0,0,16
SRC,0,0,0,0,0,0,0,34
ATP11A,0,0,1,0,0,0,0,158
AKT3,0,0,0,2,0,0,0,36
SIX1,0,2,4,0,0,0,0,24
PDX1,3,0,0,0,0,0,0,24
ACTG1,0,0,4,0,0,0,0,52
MYH7,7,11,72,0,0,0,0,160
SAMD9,0,0,1,1,0,0,0,3
GABRA1,1,1,1,1,0,0,0,20
SFTPC,0,1,2,0,0,0,0,22
FGFR3,0,0,4,1,0,0,0,69
ORAI1,1,4,3,2,0,0,0,75
WNT10A,23,0,0,1,0,0,0,60
MECOM,1,0,4,0,0,0,0,26
VPS35,0,0,0,0,0,0,1,45
ACVR1,0,0,4,0,0,0,0,62
ATP1A1,0,0,0,0,0,0,0,51
POLR3B,12,12,3,3,0,2,5,192
PRDM16,0,0,3,0,0,0,0,42
PACS1,0,0,3,0,0,0,0,67
COL11A2,40,8,4,1,0,0,0,201
CHCHD10,0,2,8,0,0,0,0,72
CEL,1,3,9,0,0,0,0,273
COL6A1,18,5,8,1,0,0,0,164
MFN2,14,6,7,0,0,0,0,66
PPP2R5D,1,0,3,0,0,0,0,31
ZNF292,7,3,2,0,1,0,0,84
SHANK1,2,0,1,0,0,0,0,173
ALDH18A1,9,6,0,1,0,0,0,84
TUBB1,2,3,9,0,0,0,0,57
PMP2,0,0,2,0,0,0,0,26
TUBB2A,0,0,1,0,0,0,0,27
GJB6,0,1,3,0,0,0,0,10
EGFR,15,9,4,5,0,0,0,87
NPRL2,2,1,1,0,0,0,0,35
GFAP,0,0,10,1,0,0,0,64
PPP2CA,0,0,0,0,0,0,0,9
NRAS,1,0,3,0,0,0,0,16
GFI1B,1,0,0,1,0,0,0,38
SEC61A1,0,0,0,0,0,0,0,41
