gene_symbol,pathogenic,likely_pathogenic,uncertain_significance,likely_benign,benign,association,not_provided,other_or_unclassified
BAP1,18,4,4,0,0,0,0,19
ARID2,4,0,0,0,0,0,0,55
ANK2,9,4,5,1,0,0,0,154
NCKAP1,0,0,1,0,0,0,0,39
KMT2C,12,5,4,5,1,0,0,198
NFIX,0,0,1,0,0,0,0,10
EFTUD2,1,0,0,0,0,0,0,13
CHD7,10,0,1,0,0,0,0,72
MBD5,2,0,1,0,0,0,0,43
PRKAR1A,6,0,0,0,0,0,0,3
MEN1,13,0,1,0,0,0,0,10
SETBP1,1,0,6,0,0,0,0,36
MITF,5,1,0,0,0,0,0,37
ACVRL1,20,1,2,0,0,0,0,16
WT1,3,4,3,0,0,0,0,29
ARID1B,13,2,10,0,0,0,1,178
CHEK2,134,19,7,0,0,0,0,43
BCL11A,4,0,1,0,0,0,0,26
PTPN11,2,1,0,0,0,0,0,18
RAD51C,55,12,5,0,0,0,0,27
FH,30,4,0,0,0,0,0,14
WDFY3,2,3,3,0,0,0,0,134
DDX41,26,3,2,0,0,0,1,93
NFIB,0,0,1,0,0,0,0,17
COL5A1,9,0,1,0,0,0,0,48
FZD4,5,0,2,0,0,0,0,42
PKD1,99,1,2,1,0,0,0,219
GATA3,7,0,0,0,0,0,0,12
PKD2,51,0,3,0,0,0,0,66
CDH1,38,2,5,1,0,0,0,25
NSD2,3,0,1,0,0,0,0,59
SYNCRIP,0,0,1,0,0,0,0,31
GRIN2A,5,3,2,4,0,0,0,63
ASH1L,3,1,1,1,0,0,0,55
ZNF462,1,1,1,0,0,0,0,134
ANKRD11,15,2,1,0,0,0,0,41
TBX5,0,0,0,0,0,0,0,16
TGFBR1,4,5,3,0,0,0,0,38
BPTF,6,0,2,0,0,0,0,78
MAX,0,0,0,0,0,0,0,6
PHOX2B,1,0,1,0,0,0,0,18
PRR12,1,1,0,0,0,0,0,112
VHL,7,0,12,0,0,0,0,3
ANKRD17,0,0,0,0,0,0,0,44
EYA4,4,6,0,0,0,0,0,50
MYBPC3,145,17,4,1,0,0,0,132
KDM6B,2,3,1,0,0,0,0,205
CNOT1,0,0,0,0,0,0,0,37
DYNC1H1,0,2,4,1,0,0,0,109
ARID1A,4,1,0,0,0,0,0,89
TBR1,0,1,0,0,0,0,0,25
SON,3,0,0,0,2,0,0,52
SPRED1,14,4,1,0,0,0,0,19
COL1A1,30,1,0,0,0,0,0,31
FOXC2,0,0,0,0,0,0,0,14
NF2,2,0,3,0,0,0,0,15
EP300,5,0,5,2,0,0,0,50
BARD1,89,11,5,0,0,0,0,74
HNF1A,23,2,0,0,0,0,0,25
CUL3,5,2,2,0,0,0,0,44
TTN,262,527,244,8,0,0,0,2549
NR4A2,1,0,1,0,0,0,0,9
WDR26,0,0,0,0,0,0,0,20
FLNC,44,14,1,2,0,0,0,149
ERF,7,0,2,0,0,0,0,29
SMAD3,3,1,1,0,0,0,0,19
BRCA1,322,6,3,0,0,0,2,39
TP53,19,0,2,0,0,0,0,14
TCOF1,7,5,4,0,0,0,0,49
MSX1,3,0,1,0,0,0,0,34
FLCN,57,1,4,0,0,0,0,38
HNRNPU,4,0,1,0,0,0,0,38
CDKN1B,7,2,4,0,0,0,0,12
TCF12,8,1,1,0,0,0,0,87
SMARCA4,12,3,7,1,0,0,0,55
JAG1,9,0,1,0,0,0,0,26
ZEB2,0,0,0,0,0,0,0,7
PKP2,79,10,3,0,0,0,0,92
BRPF1,6,0,1,0,0,0,0,39
ENG,20,0,1,0,0,0,0,28
RET,3,0,6,2,0,0,0,30
SATB2,1,0,0,0,0,0,0,6
DNMT1,0,0,3,3,0,0,0,31
UROD,14,1,0,0,0,0,0,63
GCH1,6,0,0,0,0,0,0,10
DNMT3A,46,19,6,8,0,0,6,848
GCK,28,1,0,0,0,0,0,24
NIPBL,3,0,1,0,0,0,0,37
NUS1,0,0,0,0,0,0,0,4
HNF4A,5,2,2,0,0,0,0,37
RAD51D,45,11,9,0,0,0,0,28
ASXL1,18,4,4,2,1,0,0,152
TMEM127,11,3,1,0,0,0,0,40
SCN5A,37,11,4,0,0,0,0,105
ZBTB18,0,0,1,0,0,0,0,1
NSD1,4,0,4,0,0,0,0,65
SDHAF2,16,8,6,0,0,0,0,17
RAI1,6,0,0,2,3,0,0,32
STAG1,0,1,0,0,0,0,0,43
LDLR,158,1,0,1,0,0,0,45
