gene_symbol,pathogenic,likely_pathogenic,uncertain_significance,likely_benign,benign,association,not_provided,other_or_unclassified
MYO15A,151,31,9,5,0,0,0,568
PRORP,1,0,2,1,0,0,0,127
BRAT1,24,8,3,0,0,0,0,126
VPS13B,173,72,18,4,16,0,1,481
EIF2B5,12,2,1,0,0,0,0,71
MBTPS1,2,1,4,0,0,0,0,184
STXBP2,12,11,3,1,0,0,0,75
BRCA2,560,4,7,0,0,0,0,98
RDX,2,6,2,0,0,0,0,82
TRIP11,32,12,2,1,0,0,0,305
NECTIN1,2,1,2,0,0,0,0,47
SGSH,31,6,3,0,0,0,0,69
ST3GAL5,16,2,2,0,0,0,0,66
SLC18A2,3,1,1,0,0,0,0,79
IMPG2,36,14,3,0,0,0,0,134
CLDN14,0,0,2,0,0,0,0,6
NDUFAF5,17,9,2,0,0,0,0,56
HAAO,2,1,1,0,0,0,0,96
CTPS1,1,0,2,0,0,0,0,68
MANBA,36,15,5,0,0,0,0,137
KATNIP,10,9,5,0,0,0,0,279
ACBD5,3,5,1,0,0,0,0,63
MED27,2,0,4,0,0,0,0,76
CSPP1,58,12,15,0,0,0,1,261
NPHS1,75,26,0,1,0,0,0,141
NTRK1,32,11,4,2,0,0,0,104
IL10RA,4,2,1,0,0,0,0,28
DAG1,0,0,1,0,0,0,0,30
CHST3,10,0,2,0,0,0,0,64
FLVCR1,9,2,2,0,0,0,0,78
GP1BB,0,0,0,0,0,0,0,4
PJVK,14,2,1,0,0,0,0,59
LCP2,0,0,0,0,0,0,0,98
THOC6,6,5,0,0,0,0,0,69
SIL1,15,2,1,0,0,0,0,68
KCTD7,4,3,0,0,0,0,0,23
SYNJ1,11,5,1,1,0,0,0,125
TRAPPC11,25,8,3,0,0,0,0,191
AHCY,2,2,2,0,0,0,0,52
RNF168,10,4,0,0,0,0,0,66
BBS9,47,11,3,1,0,0,0,109
COQ8B,7,1,0,1,0,0,1,92
ASS1,32,13,1,0,0,0,0,66
LOXHD1,100,43,2,4,0,0,0,247
BBS5,19,6,2,1,0,0,0,62
PCCB,43,11,1,1,0,0,0,60
PLEKHG5,16,5,4,1,2,0,0,115
PDZD7,35,5,1,1,1,0,0,159
CPT1A,22,16,0,0,0,0,2,71
CDH23,108,44,11,3,0,0,0,310
SLC25A20,18,6,0,0,0,0,0,40
RFXAP,9,5,3,0,0,0,0,46
RIPK1,3,1,1,0,0,0,0,56
SLC34A1,10,17,3,0,0,0,0,106
CLRN1,14,6,0,0,0,0,0,16
NPC2,7,3,3,0,0,0,0,18
FGD4,13,3,3,0,0,0,0,111
CCDC39,56,4,1,0,0,0,0,195
SCP2,11,3,2,1,0,0,0,104
NEK10,0,1,0,0,0,0,0,217
PYGL,25,8,3,0,1,0,0,143
GAD1,1,0,0,0,0,0,0,63
ELAC2,23,11,8,0,1,0,0,144
POLH,23,3,3,0,0,0,1,133
NSUN2,15,4,0,1,0,0,0,116
PLEC,26,5,7,1,0,0,0,399
FAH,32,19,1,0,0,0,0,41
CYB5A,0,0,0,0,0,0,0,15
ENPP1,19,3,3,0,0,0,0,142
PRX,7,5,8,0,0,0,0,48
ANKS6,7,7,2,0,0,0,0,123
AIRE,53,16,1,0,0,0,0,67
CSTB,1,1,2,0,0,0,0,9
CD19,1,2,0,0,0,0,0,48
PEX14,0,1,1,0,0,0,0,28
COL9A3,18,4,11,0,0,0,0,159
LIG4,9,0,0,0,0,0,0,31
AP4M1,26,9,0,0,0,0,0,96
TYMP,29,10,0,0,0,0,0,75
CNGA1,34,8,4,0,0,0,0,89
FNIP1,2,0,0,0,0,0,0,83
CDC45,5,0,2,1,0,0,0,99
AARS2,18,10,7,0,0,0,0,169
ARL13B,7,9,3,0,0,0,0,76
NHLRC1,9,2,2,0,0,0,0,22
TNNT1,9,6,0,0,0,0,0,84
IDUA,54,10,0,0,0,0,0,92
MGP,3,1,2,0,0,0,0,15
DZIP1L,5,4,5,0,0,0,0,159
CIITA,17,7,0,1,0,0,0,112
MTRR,29,15,0,1,0,0,0,97
SPAG1,27,4,2,0,0,0,0,170
CYP27A1,58,9,0,0,0,0,1,41
