"hgnc_symbol","ensembl_gene_id","ensembl_transcript_id","chromosome_name","start_position","end_position","strand","transcript_start","transcript_end","transcription_start_site","transcript_length","transcript_is_canonical","transcript_tsl","gene_biotype","transcript_biotype","ensembl_peptide_id"
"GRK1","ENSG00000288263","ENST00000672946","HG1524_PATCH",18042,39335,1,18042,39335,18042,4233,1,"","protein_coding","protein_coding","ENSP00000499886"
"GRK1","ENSG00000288263","ENST00000672546","HG1524_PATCH",18042,39335,1,28085,36835,28085,548,NA,"","protein_coding","protein_coding_CDS_not_defined",""
"GRK1","ENSG00000288263","ENST00000672964","HG1524_PATCH",18042,39335,1,36074,39334,36074,3261,NA,"","protein_coding","retained_intron",""
"HMX1","ENSG00000288204","ENST00000672610","HG1298_PATCH",98859,124622,-1,98859,124405,124405,651,NA,"","protein_coding","protein_coding","ENSP00000500663"
"HMX1","ENSG00000288204","ENST00000673238","HG1298_PATCH",98859,124622,-1,119831,124622,124622,1917,1,"","protein_coding","protein_coding","ENSP00000499825"
"PEX5","ENSG00000288217","ENST00000673260","HG1398_PATCH",116371,146260,1,116371,129481,116371,575,NA,"","protein_coding","protein_coding","ENSP00000499871"
"PEX5","ENSG00000288217","ENST00000671945","HG1398_PATCH",116371,146260,1,116410,130029,116410,848,NA,"","protein_coding","protein_coding","ENSP00000500922"
"PEX5","ENSG00000288217","ENST00000672694","HG1398_PATCH",116371,146260,1,116849,146257,116849,2689,NA,"","protein_coding","protein_coding","ENSP00000499823"
"PEX5","ENSG00000288217","ENST00000672891","HG1398_PATCH",116371,146260,1,116899,119034,116899,641,NA,"","protein_coding","protein_coding","ENSP00000499961"
"PEX5","ENSG00000288217","ENST00000672242","HG1398_PATCH",116371,146260,1,117270,139169,117270,3252,NA,"","protein_coding","protein_coding","ENSP00000500696"
"PEX5","ENSG00000288217","ENST00000673059","HG1398_PATCH",116371,146260,1,117297,129490,117297,548,NA,"","protein_coding","protein_coding","ENSP00000500271"
"PEX5","ENSG00000288217","ENST00000673359","HG1398_PATCH",116371,146260,1,117372,130022,117372,553,NA,"","protein_coding","protein_coding_CDS_not_defined",""
"PEX5","ENSG00000288217","ENST00000672541","HG1398_PATCH",116371,146260,1,117373,138117,117373,2253,NA,"","protein_coding","protein_coding","ENSP00000500043"
"PEX5","ENSG00000288217","ENST00000672372","HG1398_PATCH",116371,146260,1,117383,119042,117383,579,NA,"","protein_coding","protein_coding","ENSP00000500441"
"PEX5","ENSG00000288217","ENST00000671862","HG1398_PATCH",116371,146260,1,117393,131236,117393,878,NA,"","protein_coding","protein_coding","ENSP00000500701"
"PEX5","ENSG00000288217","ENST00000671993","HG1398_PATCH",116371,146260,1,117401,137948,117401,2477,NA,"","protein_coding","protein_coding","ENSP00000500509"
"PEX5","ENSG00000288217","ENST00000672235","HG1398_PATCH",116371,146260,1,117531,137942,117531,2105,1,"","protein_coding","protein_coding","ENSP00000500694"
"PEX5","ENSG00000288217","ENST00000673288","HG1398_PATCH",116371,146260,1,117642,136282,117642,1508,NA,"","protein_coding","protein_coding","ENSP00000500769"
"PEX5","ENSG00000288217","ENST00000672954","HG1398_PATCH",116371,146260,1,117775,118479,117775,560,NA,"","protein_coding","retained_intron",""
"PEX5","ENSG00000288217","ENST00000672192","HG1398_PATCH",116371,146260,1,117839,119280,117839,567,NA,"","protein_coding","protein_coding","ENSP00000500661"
"PEX5","ENSG00000288217","ENST00000672120","HG1398_PATCH",116371,146260,1,118047,129477,118047,522,NA,"","protein_coding","protein_coding","ENSP00000499952"
"PEX5","ENSG00000288217","ENST00000672776","HG1398_PATCH",116371,146260,1,118047,139166,118047,3170,NA,"","protein_coding","protein_coding","ENSP00000500230"
"PEX5","ENSG00000288217","ENST00000673268","HG1398_PATCH",116371,146260,1,118498,129518,118498,562,NA,"","protein_coding","protein_coding","ENSP00000500790"
"PEX5","ENSG00000288217","ENST00000672888","HG1398_PATCH",116371,146260,1,119258,129912,119258,708,NA,"","protein_coding","retained_intron",""
