"hgnc_symbol","ensembl_gene_id","ensembl_transcript_id","chromosome_name","start_position","end_position","strand","transcript_start","transcript_end","transcription_start_site","transcript_length","transcript_is_canonical","transcript_tsl","gene_biotype","transcript_biotype","ensembl_peptide_id"
"SHANK3","ENSG00000292254","ENST00000710353","HG1311_HG2539_PATCH",8917,69331,1,8917,69331,8917,7691,1,"","protein_coding","protein_coding","ENSP00000518224"
"POLR2A","ENSG00000284832","ENST00000643490","HG2046_PATCH",104823,135071,1,104823,135071,104823,6749,1,"","protein_coding","protein_coding","ENSP00000494840"
"POLR2A","ENSG00000284832","ENST00000710438","HG2046_PATCH",104823,135071,1,105077,120217,105077,2085,NA,"","protein_coding","retained_intron",""
"PTEN","ENSG00000284792","ENST00000710385","HG2334_PATCH",78462,183684,1,78462,182163,78462,2606,NA,"","protein_coding","protein_coding","ENSP00000518242"
"PTEN","ENSG00000284792","ENST00000710386","HG2334_PATCH",78462,183684,1,79448,177098,79448,2062,NA,"","protein_coding","protein_coding","ENSP00000518243"
"PTEN","ENSG00000284792","ENST00000710387","HG2334_PATCH",78462,183684,1,79448,182163,79448,2959,1,"","protein_coding","protein_coding","ENSP00000518244"
"PTEN","ENSG00000284792","ENST00000710388","HG2334_PATCH",78462,183684,1,79448,182163,79448,3011,NA,"","protein_coding","nonsense_mediated_decay","ENSP00000518245"
"PTEN","ENSG00000284792","ENST00000710389","HG2334_PATCH",78462,183684,1,79448,182163,79448,2817,NA,"","protein_coding","nonsense_mediated_decay","ENSP00000518246"
"PTEN","ENSG00000284792","ENST00000710390","HG2334_PATCH",78462,183684,1,79448,182163,79448,2914,NA,"","protein_coding","protein_coding","ENSP00000518247"
"PTEN","ENSG00000284792","ENST00000644628","HG2334_PATCH",78462,183684,1,79448,182163,79448,2959,NA,"","protein_coding","protein_coding","ENSP00000494918"
"PTEN","ENSG00000284792","ENST00000710391","HG2334_PATCH",78462,183684,1,80151,182460,80151,2712,NA,"","protein_coding","nonsense_mediated_decay","ENSP00000518248"
"PTEN","ENSG00000284792","ENST00000645317","HG2334_PATCH",78462,183684,1,80272,82872,80272,477,NA,"","protein_coding","protein_coding_CDS_not_defined",""
"PTEN","ENSG00000284792","ENST00000710392","HG2334_PATCH",78462,183684,1,80291,110149,80291,383,NA,"","protein_coding","retained_intron",""
"PTEN","ENSG00000284792","ENST00000710393","HG2334_PATCH",78462,183684,1,80293,182163,80293,2207,NA,"","protein_coding","protein_coding","ENSP00000518249"
