Type,"Gene Symbol /Region Name",GRCh37,"HI Score","TS Score",OMIMMorbid,%HI,pLI,LOEUF,"LastEvaluated Date"
Gene,A4GALTHGNC:18149,22:43088127-43117307,AutosomalRecessive,NoEvidence,"OMIM Morbid",73.08,0.08,1.39,12/11/2014
Gene,AAGABHGNC:25662,15:67493005-67547536,SufficientEvidence,NoEvidence,"OMIM Morbid",50.94,0,1.16,02/28/2013
Gene,AARS1HGNC:20,16:70286201-70323409,NoEvidence,NoEvidence,"OMIM Morbid",24.74,0,0.77,01/11/2018
Gene,AARS2HGNC:21022,6:44266468-44281084,AutosomalRecessive,,"OMIM Morbid",53.33,0,0.75,06/27/2025
Gene,AASSHGNC:17366,7:121713603-121784303,AutosomalRecessive,NoEvidence,"OMIM Morbid",45.6,0,0.95,10/08/2025
Gene,ABATHGNC:23,16:8768474-8878427,AutosomalRecessive,,"OMIM Morbid",41.04,0,0.87,08/22/2016
Gene,ABCB11HGNC:42,2:169777291-169887834,AutosomalRecessive,NoEvidence,"OMIM Morbid",30.88,0,0.74,07/08/2020
Gene,ABCB4HGNC:45,7:87031012-87104996,SufficientEvidence,NoEvidence,"OMIM Morbid",32.55,0,0.62,04/16/2024
Gene,ABCC8HGNC:59,11:17414045-17498392,AutosomalRecessive,NoEvidence,"OMIM Morbid",1.79,0,0.83,02/24/2012
Gene,ABCD1HGNC:61,X:152990311-153010209,SufficientEvidence,NoEvidence,"OMIM Morbid",59.98,1,0.15,12/02/2020
Gene,ABCG5HGNC:13886,2:44039611-44065978,AutosomalRecessive,NoEvidence,"OMIM Morbid",36.56,0,1.22,09/29/2025
Gene,ABCG8HGNC:13887,2:44066110-44110127,AutosomalRecessive,NoEvidence,"OMIM Morbid",39.74,0,1.33,02/03/2025
Gene,ABHD12HGNC:15868,20:25275379-25371471,AutosomalRecessive,,"OMIM Morbid",52.8,0,0.97,07/18/2025
Gene,ABRHGNC:81,17:906759-1133016,NoEvidence,NoEvidence,OMIM,10.64,1,0.43,09/05/2012
Gene,ABRAXAS1HGNC:25829,4:84380670-84406253,NoEvidence,NoEvidence,OMIM,64,0,1.35,07/18/2023
Gene,ACAD8HGNC:87,11:134123462-134135749,AutosomalRecessive,NoEvidence,"OMIM Morbid",52.61,0,1.11,12/11/2014
Gene,ACADMHGNC:89,1:76190394-76229364,AutosomalRecessive,NoEvidence,"OMIM Morbid",29.48,0,1.07,08/22/2016
Gene,ACADSBHGNC:91,10:124768522-124817806,AutosomalRecessive,,"OMIM Morbid",65.42,0,0.89,08/22/2016
Gene,ACADVLHGNC:92,17:7120444-7128585,AutosomalRecessive,NoEvidence,"OMIM Morbid",33.28,0,1.08,09/26/2025
Gene,ACDHGNC:25070,16:67691415-67694163,NoEvidence,NoEvidence,"OMIM Morbid",81.12,0,0.92,04/24/2025
Gene,ACOX1HGNC:119,17:73937588-73975247,AutosomalRecessive,NoEvidence,"OMIM Morbid",38.86,0,0.67,11/20/2014
Gene,ACP5HGNC:124,19:11685475-11689790,AutosomalRecessive,NoEvidence,"OMIM Morbid",66.32,0,1.14,08/22/2016
Gene,ACSF3HGNC:27288,16:89160260-89222641,AutosomalRecessive,NoEvidence,"OMIM Morbid",79.2,0,1.72,10/24/2025
Gene,ACSL4HGNC:3571,X:108884564-108976486,LittleEvidence,NoEvidence,"OMIM Morbid",15.6,0.98,0.31,06/10/2025
Gene,ACTA2HGNC:130,10:90694831-90751154,LittleEvidence,NoEvidence,"OMIM Morbid",2.61,0.99,0.47,09/28/2022
Gene,ACTBHGNC:132,7:5566779-5570232,NoEvidence,NoEvidence,"OMIM Morbid",1.03,1,0.19,02/08/2022
Gene,ACTC1HGNC:143,15:35082431-35087750,LittleEvidence,NoEvidence,"OMIM Morbid",9.59,0.97,0.51,09/10/2024
Gene,ACTL6BHGNC:160,7:100240720-100254071,AutosomalRecessive,,"OMIM Morbid",15.91,0,0.96,11/23/2022
Gene,ACVRL1HGNC:175,12:52301288-52317145,SufficientEvidence,NoEvidence,"OMIM Morbid",49.42,0.51,0.57,02/11/2025
Gene,ADA2HGNC:1839,22:17659680-17702738,AutosomalRecessive,NoEvidence,"OMIM Morbid",85.15,0,0.88,10/24/2025
Gene,ADAM9HGNC:216,8:38854492-38962780,AutosomalRecessive,NoEvidence,"OMIM Morbid",58.29,0,0.58,12/11/2014
Gene,ADAMTS13HGNC:1366,9:136279457-136324508,AutosomalRecessive,,"OMIM Morbid",81.4,0,0.92,08/22/2016
Gene,ADAMTS17HGNC:17109,15:100511642-100882180,AutosomalRecessive,NoEvidence,"OMIM Morbid",44.61,0,0.97,08/22/2016
Gene,ADAMTS18HGNC:17110,16:77316025-77468931,AutosomalRecessive,NoEvidence,"OMIM Morbid",48.75,0,1.06,08/22/2016
Gene,ADAMTS2HGNC:218,5:178537854-178772462,AutosomalRecessive,NoEvidence,"OMIM Morbid",25.76,0,0.57,08/22/2016
Gene,ADAMTSL2HGNC:14631,9:136397286-136440641,AutosomalRecessive,NoEvidence,"OMIM Morbid",62.46,0,0.68,08/22/2016
Gene,ADGRG1HGNC:4512,16:57653650-57699479,AutosomalRecessive,NoEvidence,"OMIM Morbid",82.05,0,0.87,10/24/2025
Gene,ADGRV1HGNC:17416,5:89854614-90460254,AutosomalRecessive,NoEvidence,"OMIM Morbid",25.58,0,0.64,08/23/2021
Gene,ADNPHGNC:15766,20:49505455-49547974,SufficientEvidence,NoEvidence,"OMIM Morbid",9.79,1,0.11,11/22/2017
Gene,ADSLHGNC:291,22:40742504-40783531,AutosomalRecessive,NoEvidence,"OMIM Morbid",4.7,0,0.92,11/06/2015
Gene,AFF2HGNC:3776,X:147582137-148082193,SufficientEvidence,NoEvidence,"OMIM Morbid",2.76,1,0.28,12/08/2020
Gene,AGAHGNC:318,4:178351928-178363591,AutosomalRecessive,,"OMIM Morbid",51.89,0,0.94,08/22/2016
Gene,AGAP2HGNC:16921,12:58117544-58135944,NoEvidence,NoEvidence,OMIM,37.07,1,0.41,02/26/2025
Gene,AGKHGNC:21869,7:141251210-141355044,AutosomalRecessive,NoEvidence,"OMIM Morbid",51.17,0,0.92,09/26/2025
Gene,AGO4HGNC:18424,1:36273237-36323491,NoEvidence,NoEvidence,OMIM,14.04,1,0.39,10/08/2024
Gene,AGPAT2HGNC:325,9:139567595-139581909,AutosomalRecessive,NoEvidence,"OMIM Morbid",74.8,0,1.2,08/22/2016
Gene,AGRNHGNC:329,1:955500-991496,AutosomalRecessive,NoEvidence,"OMIM Morbid",71.13,0,0.73,08/22/2016
Gene,AGTHGNC:333,1:230838269-230881329,AutosomalRecessive,NoEvidence,"OMIM Morbid",59.54,0,1.2,11/13/2014
Gene,AGTR2HGNC:338,X:115301997-115306227,NoEvidence,NoEvidence,OMIM,25.02,0.01,1.31,05/10/2012
Gene,AGXTHGNC:341,2:241808241-241819917,AutosomalRecessive,,"OMIM Morbid",70.08,0,1.25,08/22/2016
Gene,AHCYHGNC:343,20:32868074-32899608,AutosomalRecessive,NoEvidence,"OMIM Morbid",18.88,0,0.73,06/08/2016
Gene,AHDC1HGNC:25230,1:27860756-27930655,SufficientEvidence,NoEvidence,"OMIM Morbid",18.42,1,0.17,02/28/2018
Gene,AHI1HGNC:21575,6:135604670-135818878,AutosomalRecessive,NoEvidence,"OMIM Morbid",32.57,0,1.07,09/26/2025
Gene,AICDAHGNC:13203,12:8754766-8765455,AutosomalRecessive,,"OMIM Morbid",24.45,0,1.15,08/22/2016
Gene,AIFM1HGNC:8768,X:129263337-129299815,NoEvidence,NoEvidence,"OMIM Morbid",6.56,1,0.23,04/23/2025
Gene,AIMP1HGNC:10648,4:107236701-107270613,AutosomalRecessive,NoEvidence,"OMIM Morbid",22.3,0,0.93,08/22/2016
Gene,AKT1HGNC:391,14:105235686-105262085,NoEvidence,NoEvidence,"OMIM Morbid",0.05,1,0.47,01/25/2022
Gene,AKT2HGNC:392,19:40736224-40791252,NoEvidence,NoEvidence,"OMIM Morbid",4.88,1,0.4,05/07/2015
Gene,AKT3HGNC:393,1:243651535-244014381,LittleEvidence,NoEvidence,"OMIM Morbid",2.71,0.99,0.48,05/09/2023
